,openmlid,learner,max_anchor_seen,prediction,beta,fails_init,fails_fit,MSE_trn,MSE_tst,MSE_tst_last,L1_trn,L1_tst,L1_tst_last,n,curve_model,anchor_prediction,score,percentage,percentage_bucket
4628,16,sklearn.linear_model.LogisticRegression,45,"[0.5796346  0.65260284 0.72695707 0.81261477 0.91172367 1.02283857
 1.14345134 1.28050053 1.43407594 1.60595815 1.79856696 2.0141355
 2.25569862 2.62041395]",[-0.23428067 -0.32672645],0,0,7.516791832517257e-05,0.7215765445986095,2.7744057296369338,0.008296365881963669,0.6823481639250856,1.665654745028793,4,pow2,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.027777777777777776,0.05
4629,16,sklearn.linear_model.LogisticRegression,64,"[0.59076971 0.65439905 0.71823838 0.79068324 0.87321059 0.96428535
 1.06162071 1.17052717 1.29068354 1.42308843 1.56917058 1.73014409
 1.90774596 2.17106423]",[-0.27040622 -0.28186688],0,0,0.0002639544511718069,0.4255348784609322,1.479397914959347,0.014905527531551211,0.5421679617839048,1.2163050254600394,5,pow2,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.03950617283950617,0.05
4630,16,sklearn.linear_model.LogisticRegression,91,"[0.6046478  0.65979383 0.71433555 0.77537595 0.84392151 0.91847276
 0.99701534 1.08365385 1.17788158 1.28023698 1.39155834 1.51248179
 1.6439977  1.83575111]",[-0.31038686 -0.24050689],0,0,0.0005932625349597745,0.2463866881028161,0.7761467488756273,0.021679563768526384,0.4252979863328261,0.8809919119240694,6,pow2,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.05617283950617284,0.1
4631,16,sklearn.linear_model.LogisticRegression,128,"[0.61924102 0.66731775 0.71430364 0.76628291 0.82395978 0.88593332
 0.95044976 1.02077771 1.09635781 1.17748214 1.26466489 1.35824301
 1.4588096  1.60340847]",[-0.34975756 -0.20603644],0,0,0.0010031617716011539,0.14756446290918862,0.4207458786971002,0.027758066003004615,0.3385457760501774,0.6486492724863724,7,pow2,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.07901234567901234,0.1
4632,16,sklearn.linear_model.LogisticRegression,181,"[0.6341801  0.67626163 0.71697749 0.76158398 0.81058475 0.86270097
 0.91641321 0.97438274 1.03605844 1.10159637 1.17132433 1.24541877
 1.32425028 1.43627684]",[-0.38818698 -0.17703522],0,0,0.00146696350467082,0.09027456560591929,0.23185923386889232,0.03402971163250247,0.27165537093742487,0.4815176360933131,8,pow2,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.1117283950617284,0.2
4633,16,sklearn.linear_model.LogisticRegression,256,"[0.64865566 0.68575311 0.72135224 0.76004295 0.80219614 0.84665553
 0.89210042 0.94074783 0.99208053 1.04617998 1.10326567 1.16342819
 1.22691163 1.31626463]",[-0.42411291 -0.1532511 ],0,0,0.001926177708086364,0.05714792779503097,0.13068617301792682,0.03915184879781085,0.22139337844711965,0.3615054259868402,9,pow2,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.1580246913580247,0.2
4634,16,sklearn.linear_model.LogisticRegression,362,"[0.66256391 0.69545038 0.72679332 0.76063295 0.79724917 0.83560083
 0.87453505 0.91593067 0.95931309 1.00472163 1.05230957 1.10212004
 1.15432118 1.2272103 ]",[-0.45760966 -0.13348553],0,0,0.0023727613759965925,0.03713284771516475,0.07422960390000036,0.042593341907429395,0.18239727304421788,0.2724511036865154,10,pow2,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.2234567901234568,0.4
4635,16,sklearn.linear_model.LogisticRegression,512,"[0.67567159 0.70500502 0.73280352 0.7626518  0.79476629 0.8282094
 0.86196836 0.89765992 0.93485275 0.97356224 1.01389995 1.05588255
 1.09963103 1.16031502]",[-0.48834653 -0.11710424],0,0,0.0027820493594573944,0.024921893934357037,0.04225319599780681,0.044891232699326336,0.15244180016419426,0.2055558220965945,11,pow2,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.3160493827160494,0.4
4636,16,sklearn.linear_model.LogisticRegression,724,"[0.68809653 0.71437255 0.73915455 0.76564059 0.79400118 0.82339153
 0.85291752 0.88398559 0.91620556 0.94957894 0.98418969 1.02003944
 1.05721836 1.10850245]",[-0.51678014 -0.10326509],0,0,0.003163264957467491,0.01719558419791331,0.023636987943423168,0.04751001236037242,0.12872280903262334,0.15374325332652217,12,pow2,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.4469135802469136,0.8
4637,16,sklearn.linear_model.LogisticRegression,1024,"[0.69956888 0.72325527 0.74550599 0.76919498 0.79445956 0.82053558
 0.84662766 0.87397402 0.90222137 0.93136343 0.96146563 0.9925213
 1.02460017 1.06864428]",[-0.54243519 -0.09175384],0,0,0.0034857552739343523,0.012969812399065628,0.012969812399065628,0.05009826518386388,0.1138850841816681,0.1138850841816681,13,pow2,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]","[0.571332  0.6572864 0.7387592 0.8042176 0.8550632 0.8886256 0.9102696
 0.9249304 0.9359096 0.9427112 0.9478688 0.950228  0.953516  0.9547592]",0.6320987654320988,0.8
