learner,anchors,openmlid,slopes,is_nonmonotonic64,is_nonmonotonic256,is_nonmonotonic
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1764]",772,"[0.008941583504352854, 0.0027415023931588183, 0.0017836117946991809, 0.0020071161228873654, 0.0006536130459549117, 0.0005080796048115866, 0.0005597292270576837, 0.00013364464533662405, 0.0001486274773930256, 0.00010523415379338397, 2.0212094477000708e-05, 4.894321220351399e-05, 0.00010898701298701263, 0.00018583458646616495]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",799,"[0.005099228984807055, 0.0020877488823405703, -6.421813184902821e-05, 0.0007043036055988014, 9.250530754001788e-05, -0.00022974273488420412, 0.0002433753011879279, -9.562242273274039e-05, 0.00011542920322950111, -5.2135986166815596e-05, -4.3324764410474515e-05, -1.8957230269279933e-05]",FALSE,FALSE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",813,"[0.009459696497591442, 0.006535257873294944, 0.0033000060185080864, 0.0004743657554221607, 0.0007233022659451619, 0.0006356224516205751, 0.0004698703049007177, 0.00019815654275773286, -1.624876722759318e-05, -1.503613903743073e-05, -1.0929913637014073e-05, 1.6006952119085927e-05]",TRUE,FALSE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",845,"[-0.0005239034728343214, 0.0038391381545384517, 0.00208282238879345, 0.0007117455951593626, 0.0008851380072326027, 0.0007122318151100063, 0.0003672857209815512, 0.00032282759494310723, 0.0001304155556261119, -7.81834386444462e-05, 1.5105748204037583e-06, -4.065104327851884e-05]",TRUE,FALSE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",849,"[-0.016127287210189627, -0.007054058396817981, 0.001022076834152874, 0.0016695762246403947, 0.0013595031266736876, 0.001750512113547132, 0.00014013845696912486, 0.000519858296882972, 5.309530432309837e-05, 5.8943884963045344e-05, 7.650106061903485e-06, 6.428126197990095e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1448, 2048, 3116]",871,"[0.013824511684475148, 0.004199894080649184, 0.003489943276333894, 0.0019480569130198887, 0.0002856090509351363, 0.00028991484805918717, 0.0005665444193032224, 1.2894008778635691e-05, -0.00014123296692506866, 0.00012051434104163721, 0.00016442218354044527, -0.00010704251445609477, -5.958441558441563e-05, -1.8493506493506496e-05, 1.4285714285714321e-05, 6.288721804511285e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",903,"[-0.012186843214173732, -0.00537221891442663, 0.003251813920544796, 0.003974811000072371, 0.0018730554718453215, 0.0015335274820810145, 0.0006981076607570631, 0.00019566811644330744, 0.00037858083332597186, 0.00026646802223192844, 0.00014138227545041783, 8.23357708779459e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",910,"[0.0019171337053895568, 0.00790823096752629, 0.003934032537726575, 0.0029012740890887695, 0.0013023978385540951, 0.00045636655029206803, 0.0002520831230551562, 3.1333432654922597e-05, 0.00032497953916963334, 2.81675822317949e-05, 3.254481233137137e-05, 1.799084249295764e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",912,"[0.009213001528053282, 0.003812282529297677, 0.00047942294415949106, -0.00011608275697868036, 0.001135690198658542, 8.873922395040601e-05, 0.0007535406785863863, -0.00010331169532410901, 0.0001186950176402036, 1.6341177008977473e-06, 2.9864899593589908e-05, -2.32864386762563e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",913,"[0.003148804460830585, 0.008348120412836295, 0.004217180095276089, 0.002235691258270011, 0.001329181108987055, 0.0010827528784081494, 0.0004996811141467456, -0.00011163168324431386, 0.0002729084441736069, 0.00011989353769831239, -5.854267191460106e-05, 1.0007180067798001e-05]",TRUE,TRUE,TRUE
